127.0.0.1 - - [29/Mar/2020:13:11:17 +0200] "GET / HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [29/Mar/2020:13:16:05 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4601
0:0:0:0:0:0:0:1 - - [29/Mar/2020:13:16:08 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4601
0:0:0:0:0:0:0:1 - - [29/Mar/2020:13:16:09 +0200] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [29/Mar/2020:13:16:09 +0200] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 500 11193
0:0:0:0:0:0:0:1 - - [29/Mar/2020:13:16:09 +0200] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 500 39686
0:0:0:0:0:0:0:1 - - [29/Mar/2020:13:16:09 +0200] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 500 39686
0:0:0:0:0:0:0:1 - - [29/Mar/2020:13:16:09 +0200] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [29/Mar/2020:13:16:10 +0200] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [29/Mar/2020:13:16:16 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4601
0:0:0:0:0:0:0:1 - - [29/Mar/2020:13:16:16 +0200] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [29/Mar/2020:13:16:16 +0200] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
0:0:0:0:0:0:0:1 - - [29/Mar/2020:13:16:16 +0200] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [29/Mar/2020:13:16:18 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4601
0:0:0:0:0:0:0:1 - - [29/Mar/2020:13:16:19 +0200] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [29/Mar/2020:13:16:19 +0200] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
0:0:0:0:0:0:0:1 - - [29/Mar/2020:13:16:19 +0200] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [29/Mar/2020:13:16:28 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4601
0:0:0:0:0:0:0:1 - - [29/Mar/2020:13:16:29 +0200] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
0:0:0:0:0:0:0:1 - - [29/Mar/2020:13:16:29 +0200] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
0:0:0:0:0:0:0:1 - - [29/Mar/2020:13:16:29 +0200] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [29/Mar/2020:13:16:31 +0200] "GET /Ej06_Selenium/index.html HTTP/1.1" 200 4601
0:0:0:0:0:0:0:1 - - [29/Mar/2020:13:16:31 +0200] "GET /Ej06_Selenium/imagenes/imagen1.png HTTP/1.1" 200 39686
0:0:0:0:0:0:0:1 - - [29/Mar/2020:13:16:31 +0200] "GET /Ej06_Selenium/imagenes/imagen2.png HTTP/1.1" 200 11193
