127.0.0.1 - - [24/Apr/2020:20:01:57 +0200] "GET / HTTP/1.1" 404 1002
0:0:0:0:0:0:0:1 - - [24/Apr/2020:20:01:58 +0200] "GET /Ej06_Selenium/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [24/Apr/2020:20:01:58 +0200] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [24/Apr/2020:20:02:10 +0200] "POST /Ej06_Selenium/SVLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2020:20:02:11 +0200] "GET /Ej06_Selenium/seguro/SVClientes HTTP/1.1" 200 2432
0:0:0:0:0:0:0:1 - - [24/Apr/2020:20:02:11 +0200] "GET /Ej06_Selenium/css/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [24/Apr/2020:20:02:12 +0200] "GET /Ej06_Selenium/seguro/SVClientes?accion=seleccionar&idCliente=1 HTTP/1.1" 200 2645
0:0:0:0:0:0:0:1 - - [24/Apr/2020:20:02:12 +0200] "GET /Ej06_Selenium/seguro/js/bootstrap.min.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [24/Apr/2020:20:02:15 +0200] "POST /Ej06_Selenium/seguro/SVClientes HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2020:20:02:15 +0200] "GET /Ej06_Selenium/seguro/SVClientes HTTP/1.1" 200 2433
0:0:0:0:0:0:0:1 - - [24/Apr/2020:20:02:17 +0200] "GET /Ej06_Selenium/seguro/SVClientes?accion=verFormulario HTTP/1.1" 200 2628
0:0:0:0:0:0:0:1 - - [24/Apr/2020:20:02:17 +0200] "GET /Ej06_Selenium/seguro/js/bootstrap.min.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [24/Apr/2020:20:02:20 +0200] "POST /Ej06_Selenium/seguro/SVClientes HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2020:20:02:20 +0200] "GET /Ej06_Selenium/seguro/SVClientes HTTP/1.1" 200 2619
0:0:0:0:0:0:0:1 - - [24/Apr/2020:20:06:38 +0200] "GET /Ej06_Selenium/login.html HTTP/1.1" 200 1467
0:0:0:0:0:0:0:1 - - [24/Apr/2020:20:06:38 +0200] "GET /Ej06_Selenium/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [24/Apr/2020:20:06:38 +0200] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [24/Apr/2020:20:06:44 +0200] "POST /Ej06_Selenium/SVLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2020:20:06:44 +0200] "GET /Ej06_Selenium/seguro/SVClientes HTTP/1.1" 200 2619
0:0:0:0:0:0:0:1 - - [24/Apr/2020:20:06:44 +0200] "GET /Ej06_Selenium/css/bootstrap-theme.min.css HTTP/1.1" 200 23409
0:0:0:0:0:0:0:1 - - [24/Apr/2020:20:06:44 +0200] "GET /Ej06_Selenium/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [24/Apr/2020:20:06:44 +0200] "GET /Ej06_Selenium/seguro/SVClientes?accion=verFormulario HTTP/1.1" 200 2628
0:0:0:0:0:0:0:1 - - [24/Apr/2020:20:06:44 +0200] "GET /Ej06_Selenium/seguro/js/bootstrap.min.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [24/Apr/2020:20:06:49 +0200] "POST /Ej06_Selenium/seguro/SVClientes HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Apr/2020:20:06:49 +0200] "GET /Ej06_Selenium/seguro/SVClientes HTTP/1.1" 200 2832
